target_id,source_id,ra,dec,RUWE,non_single_star
2MASS J16221759+3215454,1325286792829244800,245.5732774,32.2626259,1.0928546,0
2MASS J16221770+3130590,1319193707409035648,245.5737431,31.51639426,1.1083095,0
2MASS J16221947+2555249,1303424756458023808,245.5811494,25.92346166,1.734202,0
2MASS J16221947+2555249,1303424756458023808,245.5811494,25.92346166,1.734202,0
2MASS J16221995+3240498,1325518686704373120,245.5831752,32.6804126,7.791759,0
2MASS J16222150+2722408,1305259768349376640,245.5896612,27.37785397,,0
2MASS J16222270+2705184,1305240221954095872,245.5944043,27.08850953,2.3820271,0
2MASS J16222270+2705184,1305240221954095872,245.5944043,27.08850953,2.3820271,0
2MASS J16222270+2705184,1305240221952370176,245.5946233,27.0887919,1.659147,0
2MASS J16222270+2705184,1305240221952370176,245.5946233,27.0887919,1.659147,0
2MASS J16222360+2505305,1302601394047620864,245.5983379,25.0918198,0.9939681,0
2MASS J16222360+2505305,1302601394047620864,245.5983379,25.0918198,0.9939681,0
2MASS J16222416+2956471,1318201161942386816,245.6007208,29.94637319,1.0099487,0
2MASS J16222543+3009139,1318214459161295488,245.6060059,30.15382877,0.9760766,0
2MASS J16222647+2817545,1317456139735543680,245.6103714,28.29845014,0.9787031,0
2MASS J16222657+2604581,1303436954165155712,245.6106966,26.08277191,2.3125,1
2MASS J16222701+3230407,1325481646905843712,245.6125582,32.51126389,1.1248212,0
2MASS J16222777+2816003,1317455761778416896,245.6158141,28.26670076,0.98515034,0
2MASS J16222806+2531575,1303379435963014656,245.6169014,25.5325293,1.0857571,0
2MASS J16222806+2531575,1303379435963014656,245.6169014,25.5325293,1.0857571,0
2MASS J16222917+2558553,1303426852402066816,245.6215578,25.98197408,1.1431853,0
2MASS J16222939+3213190,1325285689021879424,245.622464,32.2219476,1.7469532,2
2MASS J16222988+2719176,1305256439750633856,245.6244836,27.32159393,0.94228154,0
2MASS J16223296+2708560,1305240977868341888,245.6374052,27.14877262,0.9009432,0
2MASS J16223296+2708560,1305240977868341888,245.6374052,27.14877262,0.9009432,0
2MASS J16223296+2708560,1305241012226363008,245.6385562,27.14873144,1.2032536,0
2MASS J16223296+2708560,1305241012226363008,245.6385562,27.14873144,1.2032536,0
2MASS J16223297+3306583,1325582595817755264,245.6373769,33.11625982,1.6263369,0
2MASS J16223375+2849466,1317511321475427328,245.6409333,28.82967522,1.0302688,0
2MASS J16223436+2554516,1303425340573568128,245.6433464,25.914142,4.234202,1
2MASS J16223436+2554516,1303425340573568128,245.6433464,25.914142,4.234202,1
2MASS J16223617+3129000,1319198453349094016,245.6505423,31.48342125,1.0154095,0
2MASS J16223727+2612304,1303486432188413056,245.655368,26.20837593,1.046157,0
2MASS J16223790+2505049,1302600638134063744,245.6578164,25.08458908,1.202276,0
2MASS J16224161+2547161,1303410394087365504,245.6733352,25.78777528,1.2410752,2
2MASS J16224161+2547161,1303410394087365504,245.6733352,25.78777528,1.2410752,2
2MASS J16224161+2547161,1303410394087365504,245.6733352,25.78777528,1.2410752,2
2MASS J16224161+2547161,1303410394087365504,245.6733352,25.78777528,1.2410752,2
2MASS J16224183+3012271,1318215077636585472,245.6742807,30.20754879,1.0188957,0
2MASS J16224229+2539417,1303382768857847296,245.676325,25.66141427,0.96059406,0
2MASS J16224229+2539417,1303382768857847296,245.676325,25.66141427,0.96059406,0
2MASS J16224229+2539417,1303382768857847424,245.6757465,25.66069649,1.143401,0
2MASS J16224229+2539417,1303382768857847424,245.6757465,25.66069649,1.143401,0
2MASS J16224260+2557256,1303425787250167552,245.6775098,25.957039,1.0382822,0
2MASS J16224260+2557256,1303425787250167552,245.6775098,25.957039,1.0382822,0
2MASS J16224282+3007239,1318213424072653440,245.6784635,30.12332793,1.0877728,0
2MASS J16224282+3007239,1318213428368155904,245.6783047,30.12432472,0.9740424,0
2MASS J16224385+3214549,1325285968196086528,245.68258,32.24876231,1.0809392,0
